Sr.No,City/town,Federal subject,Population,Population
,,,(2002 Census),(2010 Census (preliminary))
1,Moscow,Moscow,"1,03,82,754","1,15,14,330"
2,Saint Petersburg,Saint Petersburg,"46,61,219","48,48,742"
3,Novosibirsk,Novosibirsk Oblast,"14,25,508","14,73,737"
4,Yekaterinburg,Sverdlovsk Oblast,"12,93,537","13,50,136"
5,Nizhny Novgorod,Nizhny Novgorod Oblast,"13,11,252","12,50,615"
6,Samara,Samara Oblast,"11,57,880","11,64,896"
7,Omsk,Omsk Oblast,"11,34,016","11,53,971"
8,Kazan,Republic of Tatarstan,"11,05,289","11,43,546"
9,Chelyabinsk,Chelyabinsk Oblast,"10,77,174","11,30,273"
10,Rostov-on-Don,Rostov Oblast,"10,68,267","10,89,851"
11,Ufa,Republic of Bashkortostan,"10,42,437","10,62,300"
12,Volgograd,Volgograd Oblast,"10,11,417","10,21,244"
13,Perm,Perm Krai,"10,01,653","9,91,530"
14,Krasnoyarsk,Krasnoyarsk Krai,"9,09,341","9,73,891"
15,Voronezh,Voronezh Oblast,"8,48,752","8,89,989"
16,Saratov,Saratov Oblast,"8,73,055","8,37,831"
17,Krasnodar,Krasnodar Krai,"6,46,175","7,44,933"
18,Tolyatti,Samara Oblast,"7,02,879","7,19,514"
19,Izhevsk,Udmurt Republic,"6,32,140","6,28,116"
20,Ulyanovsk,Ulyanovsk Oblast,"6,35,947","6,13,793"
21,Barnaul,Altai Krai,"6,00,749","6,12,091"
22,Vladivostok,Primorsky Krai,"5,94,701","5,92,069"
23,Yaroslavl,Yaroslavl Oblast,"6,13,088","5,91,486"
24,Irkutsk,Irkutsk Oblast,"5,93,604","5,87,225"
25,Tyumen,Tyumen Oblast,"5,10,719","5,81,758"
26,Makhachkala,Republic of Dagestan,"4,62,412","5,77,990"
27,Khabarovsk,Khabarovsk Krai,"5,83,072","5,77,668"
28,Novokuznetsk,Kemerovo Oblast,"5,49,870","5,47,885"
29,Orenburg,Orenburg Oblast,"5,49,361","5,44,987"
30,Kemerovo,Kemerovo Oblast,"4,84,754","5,32,884"
31,Ryazan,Ryazan Oblast,"5,21,560","5,25,062"
32,Tomsk,Tomsk Oblast,"4,87,838","5,22,940"
33,Astrakhan,Astrakhan Oblast,"5,04,501","5,20,662"
34,Penza,Penza Oblast,"5,18,025","5,17,137"
35,Naberezhnye Chelny,Republic of Tatarstan,"5,09,870","5,13,242"
36,Lipetsk,Lipetsk Oblast,"5,06,114","5,08,124"
37,Tula,Tula Oblast,"4,81,216","5,01,129"
38,Kirov,Kirov Oblast,"4,57,578","4,73,668"
39,Cheboksary,Chuvash Republic,"4,40,621","4,53,645"
40,Kaliningrad,Kaliningrad Oblast,"4,30,003","4,31,491"
41,Bryansk,Bryansk Oblast,"4,31,526","4,15,640"
42,Kursk,Kursk Oblast,"4,12,442","4,14,595"
43,Ivanovo,Ivanovo Oblast,"4,31,721","4,09,277"
44,Magnitogorsk,Chelyabinsk Oblast,"4,18,545","4,08,401"
45,Ulan-Ude,Republic of Buryatia,"3,59,391","4,04,357"
46,Tver,Tver Oblast,"4,08,903","4,03,726"
47,Stavropol,Stavropol Krai,"3,54,867","3,98,266"
48,Nizhny Tagil,Sverdlovsk Oblast,"3,90,498","3,61,883"
49,Belgorod,Belgorod Oblast,"3,37,030","3,56,426"
50,Arkhangelsk,Arkhangelsk Oblast,"3,56,051","3,48,716"
51,Vladimir,Vladimir Oblast,"3,15,954","3,45,598"
52,Sochi,Krasnodar Krai,"3,28,809","3,43,285"
53,Kurgan,Kurgan Oblast,"3,45,515","3,33,640"
54,Smolensk,Smolensk Oblast,"3,25,137","3,26,863"
55,Kaluga,Kaluga Oblast,"3,34,751","3,25,185"
56,Chita,Zabaykalsky Krai,"3,16,643","3,23,964"
57,Oryol,Oryol Oblast,"3,33,310","3,17,854"
58,Volzhsky,Volgograd Oblast,"3,13,169","3,14,436"
59,Cherepovets,Vologda Oblast,"3,11,869","3,12,311"
60,Vladikavkaz,Republic of North Ossetia-Alania,"3,15,608","3,11,635"
61,Murmansk,Murmansk Oblast,"3,36,137","3,07,664"
62,Surgut,Khanty-Mansi Autonomous Okrug,"2,85,027","3,06,703"
63,Vologda,Vologda Oblast,"2,93,046","3,01,642"
64,Saransk,Republic of Mordovia,"3,04,866","2,97,425"
65,Tambov,Tambov Oblast,"2,93,658","2,80,457"
66,Sterlitamak,Republic of Bashkortostan,"2,64,362","2,73,432"
67,Grozny,Chechen Republic,"2,10,720","2,71,596"
68,Yakutsk,Sakha Republic,"2,10,642","2,69,486"
69,Kostroma,Kostroma Oblast,"2,78,750","2,68,617"
70,Komsomolsk-na-Amure,Khabarovsk Krai,"2,81,035","2,63,906"
71,Petrozavodsk,Republic of Karelia,"2,66,160","2,63,540"
72,Taganrog,Rostov Oblast,"2,81,947","2,57,692"
73,Nizhnevartovsk,Khanty-Mansi Autonomous Okrug,"2,39,044","2,51,860"
74,Yoshkar-Ola,Mari El Republic,"2,56,719","2,48,688"
75,Bratsk,Irkutsk Oblast,"2,59,335","2,46,348"
76,Novorossiysk,Krasnodar Krai,"2,32,079","2,41,788"
77,Dzerzhinsk,Nizhny Novgorod Oblast,"2,61,334","2,40,762"
78,Shakhty,Rostov Oblast,"2,22,592","2,40,152"
79,Nalchik,Kabardino-Balkar Republic,"2,74,974","2,40,095"
80,Orsk,Orenburg Oblast,"2,50,963","2,39,752"
81,Syktyvkar,Komi Republic,"2,30,011","2,35,006"
82,Nizhnekamsk,Republic of Tatarstan,"2,25,399","2,34,108"
83,Angarsk,Irkutsk Oblast,"2,47,118","2,33,765"
84,Stary Oskol,Belgorod Oblast,"2,15,898","2,21,163"
85,Veliky Novgorod,Novgorod Oblast,"2,16,856","2,18,724"
86,Balashikha,Moscow Oblast,"1,47,909","2,15,353"
